公司名,职位名,工作地点,薪资水平
苏州滔为智能科技有限公司,c#,苏州-虎丘,6500.0
友谊时光科技股份有限公司,java,苏州,10000.0
苏州集畅自动化科技发展有限公司,.net,苏州,9000.0
苏州汇诚智通科技有限公司,java,苏州-吴中,9500.0
大健云仓科技(苏州)有限公司,java,苏州-虎丘,12500.0
苏州信亨自动化科技有限公司,java,苏州-工业园区,17500.0
杰信软件科技（苏州）有限公司,java,苏州-工业园区,6000.0
上海畅启软件有限公司,java,苏州-吴中,14000.0
法本信息,java,苏州-吴中,16000.0
苏州泰克赛威网络科技有限公司,c#,苏州-姑苏,7500.0
上海桓领信息科技有限公司,java,苏州,18000.0
昆仑太科(北京)技术股份有限公司,嵌入式,苏州-昆山,10500.0
苏州大尊装饰工程有限公司,java,苏州-吴中,18000.0
苏州奇流信息科技有限公司,python,苏州,9000.0
昆山贝尔特商务咨询有限公司,c#,苏州-虎丘,15000.0
苏州蓝博控制技术有限公司,嵌入式,苏州-工业园区,10000.0
南京迈特望科技股份有限公司,python,苏州-吴中,14000.0
斑马(昆山)智能信息科技有限公司,.net,苏州-昆山,7000.0
俐玛光电科技(北京)有限公司,c#,苏州-吴中,15000.0
杰信软件科技（苏州）有限公司,java,苏州-吴中,3500.0
江苏远大信息股份有限公司,java,苏州-张家港,12500.0
元动未来(北京)科技有限公司,.net,苏州-张家港,10500.0
国泰新点软件股份有限公司,.net,苏州-虎丘,11500.0
苏州卓越光华信息技术有限公司,c#,苏州,10500.0
苏州三光科技股份有限公司,嵌入式,苏州-虎丘,12000.0
凌志软件,java,苏州-虎丘,5000.0
中国电信苏州分公司,java,苏州-姑苏,13500.0
数为科技(苏州)有限公司,java,苏州-吴中,21500.0
苏州澜途科技有限公司,java,苏州-相城,20000.0
苏州城方信息技术有限公司,.net,苏州-吴中,15000.0
浙江艾罗网络能源技术股份有限公司,嵌入式,苏州-吴中,15000.0
斑马(昆山)智能信息科技有限公司,.net,苏州-昆山,11500.0
软通动力信息技术(集团)股份有限公司,java,苏州-吴中,16500.0
苏州弗士达科学仪器有限公司,c#,苏州-吴中,18000.0
苏州城方信息技术有限公司,python,苏州,9500.0
江苏惟德电力设备有限公司,php,苏州-姑苏,12500.0
北京泽佳科益科技有限公司,python,苏州-吴中,17000.0
日善电脑配件(嘉善)有限公司,c#,苏州,12500.0
东华软件股份公司,java,苏州-虎丘,9000.0
鸣志电器,嵌入式,苏州-太仓,7000.0
苏州卓越光华信息技术有限公司,c#,苏州,8000.0
苏州索拉科技有限公司,c#,苏州-姑苏,15000.0
郑州海奥软件科技有限公司,java,苏州-虎丘,9000.0
科大讯飞,c++,苏州-吴中,15000.0
苏州滔为智能科技有限公司,c#,苏州-虎丘,4500.0
普罗斯通信技术(苏州)有限公司,嵌入式,苏州-昆山,9500.0
苏州振旺光电有限公司,c++,苏州-虎丘,15000.0
大豪科技,嵌入式,苏州-常熟,15000.0
江苏江南商贸集团有限责任公司,c#,苏州-常熟,16000.0
深圳市优易控软件有限公司,c#,苏州-虎丘,12500.0
南京佳强科技有限公司,python,苏州-虎丘,9500.0
苏州卫捷医药科技有限公司,.net,苏州,9000.0
江苏鑫瑞源科技有限公司,python,苏州-虎丘,12500.0
苏州硅岛信息科技有限公司,嵌入式,苏州-虎丘,6000.0
苏州协同创新智能制造装备有限公司,java,苏州,17500.0
郑州海奥软件科技有限公司,java,苏州-常熟,14500.0
苏州冠鸿智能装备有限公司,c#,苏州-吴中,9000.0
苏州妙益科技股份有限公司,嵌入式,苏州-吴中,22500.0
江苏百顺智能物流设备有限公司,嵌入式,苏州,10500.0
大健云仓科技(苏州)有限公司,java,苏州-虎丘,12500.0
厦门聚视智创科技有限公司,c++,苏州-虎丘,15000.0
深圳市一页科技有限公司,.net,苏州-吴中,12500.0
阿米检测技术有限公司,python,苏州-相城,22500.0
星网锐捷,.net,苏州-虎丘,12500.0
郑州快码软件科技有限公司,c#,苏州-虎丘,10500.0
苏州能斯达电子科技有限公司,嵌入式,苏州-虎丘,15000.0
大连斯锐信息技术有限公司,c#,苏州,12000.0
京北方,java,苏州-吴中,14500.0
苏州隆士丹自动化技术有限公司,.net,苏州-虎丘,12500.0
上海坤亿信息技术有限公司,python,苏州-吴中,13500.0
大连斯锐信息技术有限公司,.net,苏州-虎丘,15500.0
外企德科,python,苏州-虎丘,22500.0
上海基甸信息科技有限公司,java,苏州-姑苏,12500.0
国泰新点软件股份有限公司,.net,苏州-张家港,11500.0
深圳飞音科技,c++,苏州-吴中,12000.0
科塞尔医疗科技(苏州)有限公司,嵌入式,苏州,13500.0
苏州隆泰信息技术有限公司,java,苏州-虎丘,8000.0
陕西付立得信息技术有限公司,java,苏州-吴中,14500.0
南京迈特望科技股份有限公司,python,苏州-吴中,12500.0
湖南拓维云创科技有限责任公司,python,苏州-虎丘,14000.0
江苏江南商贸集团有限责任公司,.net,苏州-常熟,10000.0
智联猎头,.net,苏州-姑苏,10000.0
苏州埃顿电力科技有限公司,java,苏州-虎丘,30000.0
苏州博通计算机科技有限公司,java,苏州,13500.0
欧德神思软件系统(北京)有限公司,c#,苏州-虎丘,10500.0
苏州苏繁自动化技术有限公司,.net,苏州-姑苏,19500.0
ユニークシステム株式会社,java,苏州,22500.0
苏州研途教育科技有限公司,python,苏州-虎丘,12500.0
凌志软件,java,苏州-虎丘,11500.0
软通动力信息技术(集团)股份有限公司,python,苏州-吴中,16500.0
郑州海奥软件科技有限公司,c#,苏州-吴中,13000.0
以诺康医疗科技(苏州)有限公司,嵌入式,苏州-虎丘,22500.0
苏州佳智彩光电科技有限公司,c#,苏州,19000.0
苏州空谷网络科技有限公司,java,苏州-虎丘,35000.0
郑州海奥软件科技有限公司,.net,苏州-吴中,10500.0
上海文华财经资讯股份有限公司,c++,苏州-虎丘,27500.0
苏州工业园区苏和航空试验技术有限公司,嵌入式,苏州-虎丘,11500.0
苏州光格科技股份有限公司,java,苏州,25000.0
苏州杰锐思智能科技股份有限公司,c#,苏州-吴中,17000.0
和顺电气股份,java,苏州,12500.0
天准公司,嵌入式,苏州,30000.0
苏州格道企业管理咨询有限公司,.net,苏州-虎丘,20000.0
南京星原云科技有限公司,python,苏州-虎丘,16000.0
安信株式会社,.net,苏州-虎丘,15000.0
外企德科,c++,苏州-虎丘,20500.0
博彦科技,c#,苏州-虎丘,12500.0
苏州洞悉科技有限公司,c++,苏州-昆山,20000.0
国讯芯微(苏州)科技有限公司,c++,苏州-虎丘,15000.0
上海仙睿信息技术有限公司,python,苏州,14000.0
苏州信亨自动化科技有限公司,c#,苏州,26500.0
软通动力信息技术(集团)股份有限公司,java,苏州-吴中,18000.0
赛业生物,python,苏州-太仓,16500.0
苏州典模电动科技有限公司,嵌入式,苏州,8500.0
苏州振旺光电有限公司,c++,苏州-虎丘,15000.0
中达电子(江苏)有限公司,c#,苏州,23000.0
苏州康鸿智能装备股份有限公司,c++,苏州,15000.0
软通动力信息技术(集团)股份有限公司,java,苏州-吴中,18000.0
威芯星智能科技(苏州)有限公司,嵌入式,苏州-吴中,17500.0
苏州弗格信息科技有限公司,c#,苏州-吴中,13000.0
苏州德睦信息科技有限公司,.net,苏州-相城,10000.0
苏州恩巨网络有限公司,c++,苏州,22500.0
国泰新点软件股份有限公司,.net,苏州-张家港,9000.0
苏州法斯特企业管理咨询有限公司,.net,苏州-虎丘,11000.0
江苏兰之天软件技术有限公司,.net,苏州-太仓,12000.0
湖北派易达人力资源有限公司,嵌入式,苏州-虎丘,14500.0
上海微创软件股份有限公司,python,苏州-虎丘,15000.0
苏州六子台科技有限公司,php,苏州-吴中,12500.0
邦鼎智能科技(苏州)有限公司,.net,苏州-相城,13000.0
苏州空谷网络科技有限公司,java,苏州-虎丘,15000.0
苏州市青英信息科技有限公司,c#,苏州,20000.0
外企德科,java,苏州-虎丘,22500.0
郑州纳石信息科技有限公司,.net,苏州-吴中,10500.0
普源精电科技股份有限公司,嵌入式,苏州,20000.0
青岛奥利普奇智智能工业技术有限公司,.net,苏州-姑苏,16500.0
泛普科技,php,苏州-虎丘,11500.0
欧立腾(北京)技术咨询有限公司上海分公司,python,苏州-吴中,13000.0
苏州格道企业管理咨询有限公司,嵌入式,苏州-虎丘,9000.0
苏州工业园区人力资源和社会保障局,java,苏州-虎丘,35000.0
浙江普康智慧养老产业科技有限公司,嵌入式,苏州,8000.0
苏州鸿鹄骐骥电子科技有限公司,嵌入式,苏州,12000.0
外企德科,c++,苏州-虎丘,17000.0
苏州光图智能科技有限公司,c++,苏州-虎丘,17000.0
郑州纳石信息科技有限公司,.net,苏州-吴中,11000.0
苏州冠鸿智能装备有限公司,c#,苏州-吴中,17500.0
慧灵科技,c#,苏州-昆山,17000.0
广州视源电子科技股份有限公司,c++,苏州-吴中,17500.0
苏州市福川科技有限公司,c++,苏州-虎丘,15000.0
三微电子科技(苏州)有限公司,c++,苏州-吴中,22500.0
江苏亨通太赫兹技术有限公司,c++,苏州,18000.0
苏州清研精准汽车科技有限公司北京分公司,c#,苏州-吴中,20000.0
广州虹科电子科技有限公司,嵌入式,苏州-虎丘,12000.0
湖南拓维云创科技有限责任公司,c++,苏州-虎丘,18500.0
江苏麦洛电气有限公司,嵌入式,苏州-姑苏,12000.0
云计划软件科技,java,苏州-吴中,7000.0
