"7","急速国际物流科技(深圳)有限公司","PHP开发工程师","苏州-姑苏","1万-1.5万"
"8","上海朗裕信息科技有限公司","对日Java开发","苏州-吴中","7千-1.1万"
"9","荣旗工业科技(苏州)股份有限公司","上位机软件开发工程师","苏州-吴中","1.2万-2.3万"
"10","凌志软件","软件开发工程师（对日java/前端/cobol）","苏州-虎丘","1万-1.3万"
"11","浩辰软件","C++软件开发工程师","苏州","1万-1.5万"
"12","溧阳储慧智能软件科技有限公司","高级Java开发工程师","苏州-吴中","1.5万-2万"
"13","玉泉区力驰互联网科技工作室","php开发工程师【税后高薪】","苏州-姑苏","1万-1.3万"
"14","中移(苏州)软件技术有限公司","Java","苏州","面议"
"15","苏州商路信息科技有限公司","c/c++软件开发","苏州-吴中","1万-2万"
"16","北京宏诚创新科技有限公司","Java开发工程师","苏州-吴中","1.5万-2万"
"17","苏州琨山通用锁具有限公司","Java开发工程师","苏州-昆山","1.5万-2万"
"18","永卓控股有限公司","技术工程师","苏州-张家港","1.2万-1.6万"
"19","江苏安孚律师事务所","php开发工程师","苏州-吴中","8千-1.3万"
"20","苏州弘瀚自动化科技有限公司","C#上位机软件开发工程师","苏州-虎丘","1.5万-2.3万"
"21","北京瑞友科技股份有限公司","python开发工程师（英语四级）","苏州-吴中","1.8万-2万"
"22","宇锋智能","AGV软件工程师","苏州-吴中","1.2万-2万"
"23","上海仙睿信息技术有限公司","java开发","苏州-姑苏","3万-5万"
"24","江苏富士通通信技术有限公司","C/C++研发工程师","苏州-高新区","8千-1.3万"
"25","无锡先导智能装备股份有限公司","软件工程师","苏州-姑苏","8千-1.5万"
"26","苏州市安孚企业管理信息咨询服务有限公司","PHP工程师","苏州","8千-1.5万"
"27","江苏惟德电力设备有限公司","PHP开发工程师","苏州-姑苏","8千-1.5万"
"28","法本信息","C#开发工程师（周末双休/六险一金）","苏州-吴中","1.1万-1.6万"
"29","大健云仓科技(苏州)有限公司","PHP开发工程师","苏州-虎丘","1.2万-1.8万"
"0","博彦科技承德有限公司","C++软件开发工程师","苏州-虎丘","1.7万-2.2万"
"1","智联猎头","软件研发工程师","苏州-虎丘","1.2万-2万"
"2","京北方","中级Java开发工程师（本科学信网+双证）","苏州-吴中","1.4万-1.7万"
"3","科大国创软件股份有限公司","Java开发工程师","苏州-虎丘","面议"
"4","广州虹科电子科技有限公司","智能驾驶场景开发工程师IntelligentDrivingScenarioDevelopmentEnginee","苏州-虎丘","9千-1.8万"
"5","上海坤亿信息技术有限公司","c++嵌入式软件开发工程师","苏州-吴中","1万-1.5万"
"6","大易云计算","java架构师","苏州-虎丘","2万-3万"
"7","苏州人之众信息技术有限公司","python研发工程师","苏州-吴中","1.5万-2万"
"8","苏州七剑软件有限公司","EAP软件工程师","苏州-吴中","1万-1.5万"
"9","郑州炬承信息技术有限公司","java中高级工程师","苏州-常熟","1万-2万"
"10","富鑫林光电","高级软件开发工程师（WindowsQT）","苏州-虎丘","1.5万-2.6万"
"11","道元实业","C#软件工程师","苏州-昆山","1.1万-2.2万"
"12","成都科锐特汽车科技有限公司","C++开发工程师","苏州-吴江","1.5万-3万"
"13","株式会社ビー·シー·エル","对日软件开发工程师","苏州-姑苏","1.5万-3万"
"14","苏州澜途科技有限公司","C++开发工程师","苏州-相城","2万-4万"
"15","苏州维伟思医疗科技有限公司","C#软件工程师","苏州-虎丘","1.2万-1.6万"
"16","上海坤亿信息技术有限公司","golang开发工程师","苏州-吴中","1.5万-1.6万"
"17","软通动力信息技术(集团)股份有限公司","java开发经理","苏州-虎丘","1.8万-3万"
"18","先进数通","Java技术经理（研发）","苏州-虎丘","2万-3万"
